-54.812500000,10.125000000,42.062500000,1590318434350
-55.312500000,10.000000000,41.250000000,1590318434530
-54.812500000,9.125000000,41.000000000,1590318434731
-55.062500000,9.437500000,40.375000000,1590318434930
-54.687500000,10.875000000,40.812500000,1590318435130
-55.312500000,11.437500000,39.250000000,1590318435330
-54.250000000,10.312500000,40.500000000,1590318435547
-54.375000000,9.062500000,39.437500000,1590318435732
-53.812500000,8.812500000,38.750000000,1590318435931
-51.937500000,9.562500000,40.000000000,1590318436131
-51.687500000,9.562500000,40.000000000,1590318436331
-51.875000000,11.125000000,38.375000000,1590318436530
-52.062500000,10.000000000,38.000000000,1590318436731
-51.250000000,9.625000000,37.250000000,1590318436930
-50.250000000,10.625000000,38.062500000,1590318437131
-50.250000000,10.937500000,36.750000000,1590318437333
-49.687500000,10.937500000,36.562500000,1590318437531
-49.375000000,10.062500000,36.500000000,1590318437730
-50.437500000,9.875000000,34.500000000,1590318437930
-49.000000000,9.937500000,35.312500000,1590318438130
-49.187500000,10.562500000,34.750000000,1590318438330
-48.562500000,10.625000000,35.187500000,1590318438530
-47.750000000,9.687500000,36.625000000,1590318438730
-48.312500000,9.000000000,34.062500000,1590318438930
-48.437500000,9.625000000,34.062500000,1590318439130
-48.250000000,9.937500000,33.375000000,1590318439332
-48.375000000,10.500000000,32.750000000,1590318439530
-47.875000000,9.750000000,33.437500000,1590318439730
-47.750000000,8.500000000,32.687500000,1590318439930
-47.812500000,9.187500000,32.375000000,1590318440131
-48.375000000,9.500000000,31.625000000,1590318440331
-47.625000000,10.437500000,31.187500000,1590318440530
-46.937500000,8.625000000,32.750000000,1590318440731
-47.875000000,9.000000000,31.125000000,1590318440931
-46.625000000,10.937500000,33.625000000,1590318441131
-47.437500000,11.375000000,31.812500000,1590318441331
-46.687500000,11.500000000,32.500000000,1590318441531
-47.000000000,8.875000000,32.687500000,1590318441730
-47.187500000,10.250000000,31.437500000,1590318441930
-47.062500000,9.750000000,31.500000000,1590318442131
-47.937500000,10.812500000,30.750000000,1590318442330
-46.937500000,11.187500000,30.312500000,1590318442530
-46.937500000,10.312500000,31.937500000,1590318442730
-47.250000000,10.500000000,29.875000000,1590318442930
-46.125000000,11.625000000,30.937500000,1590318443130
-48.187500000,11.500000000,28.625000000,1590318443330
-47.687500000,11.125000000,28.562500000,1590318443531
-47.500000000,9.937500000,29.125000000,1590318443731
-47.437500000,11.000000000,28.312500000,1590318443931
-47.437500000,10.500000000,30.000000000,1590318444131
-48.500000000,11.312500000,29.125000000,1590318444331
-47.687500000,11.187500000,29.875000000,1590318444530
-47.562500000,9.625000000,30.000000000,1590318444732
-47.875000000,8.875000000,28.375000000,1590318444931
-47.812500000,10.312500000,30.000000000,1590318445131
-48.312500000,10.312500000,27.812500000,1590318445332
-47.250000000,11.250000000,29.937500000,1590318445531
-47.875000000,10.875000000,28.437500000,1590318445730
-47.562500000,11.625000000,29.875000000,1590318445930
-47.562500000,12.000000000,29.562500000,1590318446131
-47.562500000,13.000000000,28.375000000,1590318446330
-47.375000000,12.437500000,29.937500000,1590318446530
-48.625000000,12.625000000,27.500000000,1590318446731
-47.937500000,12.125000000,26.937500000,1590318446930
-47.375000000,14.000000000,27.750000000,1590318447130
-48.000000000,14.187500000,27.875000000,1590318447331
-48.062500000,13.437500000,28.250000000,1590318447530
-48.187500000,13.000000000,26.937500000,1590318447731
-47.625000000,13.625000000,28.625000000,1590318447931
-47.750000000,14.312500000,28.375000000,1590318448131
-48.062500000,14.312500000,27.187500000,1590318448331
-48.125000000,13.187500000,28.437500000,1590318448531
-48.312500000,11.875000000,27.250000000,1590318448731
-47.750000000,11.812500000,28.625000000,1590318448932
-48.062500000,12.875000000,28.437500000,1590318449130
-48.375000000,14.187500000,28.187500000,1590318449333
-47.437500000,12.250000000,29.687500000,1590318449531
-48.062500000,13.125000000,28.312500000,1590318449731
-47.250000000,14.000000000,30.187500000,1590318449930
-47.500000000,15.562500000,29.937500000,1590318450130
-47.625000000,15.187500000,30.687500000,1590318450331
-47.062500000,13.125000000,30.812500000,1590318450531
-48.000000000,11.187500000,28.937500000,1590318450731
-47.250000000,10.437500000,30.937500000,1590318450931
-47.000000000,7.187500000,31.000000000,1590318451131
